Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 11100:, hard_loss_metric=0.36695367, full_loss_metric=0.18765478, full_loss_num=9585.21093750, mean_dist=2.37832355, lr=0.000100, hard or full='full'
iter 11200:, hard_loss_metric=0.36492833, full_loss_metric=0.18677223, full_loss_num=9554.80566406, mean_dist=2.38376927, lr=0.000100, hard or full='full'
iter 11300:, hard_loss_metric=0.36340722, full_loss_metric=0.18798858, full_loss_num=9159.62402344, mean_dist=2.39201522, lr=0.000100, hard or full='full'
iter 11400:, hard_loss_metric=0.36142501, full_loss_metric=0.18796369, full_loss_num=9241.89355469, mean_dist=2.41679430, lr=0.000100, hard or full='full'
iter 11500:, hard_loss_metric=0.36103722, full_loss_metric=0.18734014, full_loss_num=9262.28710938, mean_dist=2.41342545, lr=0.000100, hard or full='full'
iter 11600:, hard_loss_metric=0.35713145, full_loss_metric=0.18622649, full_loss_num=9046.31640625, mean_dist=2.40022349, lr=0.000100, hard or full='full'
iter 11700:, hard_loss_metric=0.35462627, full_loss_metric=0.18754560, full_loss_num=8725.22558594, mean_dist=2.43489552, lr=0.000100, hard or full='full'
iter 11800:, hard_loss_metric=0.35662735, full_loss_metric=0.18790475, full_loss_num=8945.40917969, mean_dist=2.44258118, lr=0.000100, hard or full='full'
iter 11900:, hard_loss_metric=0.36216199, full_loss_metric=0.18804109, full_loss_num=9263.59082031, mean_dist=2.42383432, lr=0.000100, hard or full='full'
0:04:21.985817
iter 12000:, hard_loss_metric=0.34829277, full_loss_metric=0.18695560, full_loss_num=8530.23046875, mean_dist=2.46183825, lr=0.000100, hard or full='full'
iter 12100:, hard_loss_metric=0.35816139, full_loss_metric=0.18711844, full_loss_num=9052.45410156, mean_dist=2.45698380, lr=0.000100, hard or full='full'
iter 12200:, hard_loss_metric=0.35425162, full_loss_metric=0.18711574, full_loss_num=8835.19335938, mean_dist=2.45183229, lr=0.000100, hard or full='full'
iter 12300:, hard_loss_metric=0.35103172, full_loss_metric=0.18815236, full_loss_num=8765.44531250, mean_dist=2.46958065, lr=0.000100, hard or full='full'
iter 12400:, hard_loss_metric=0.35382652, full_loss_metric=0.18885598, full_loss_num=8692.29785156, mean_dist=2.46770597, lr=0.000100, hard or full='full'
iter 12500:, hard_loss_metric=0.35137123, full_loss_metric=0.18823257, full_loss_num=8565.83886719, mean_dist=2.48465085, lr=0.000100, hard or full='full'
iter 12600:, hard_loss_metric=0.34863976, full_loss_metric=0.18799992, full_loss_num=8657.84765625, mean_dist=2.47121596, lr=0.000100, hard or full='full'
iter 12700:, hard_loss_metric=0.34258404, full_loss_metric=0.18644215, full_loss_num=8442.35742188, mean_dist=2.49735641, lr=0.000100, hard or full='full'
iter 12800:, hard_loss_metric=0.33881679, full_loss_metric=0.18597127, full_loss_num=8022.45458984, mean_dist=2.52084827, lr=0.000100, hard or full='full'
iter 12900:, hard_loss_metric=0.34373024, full_loss_metric=0.18712178, full_loss_num=8230.79785156, mean_dist=2.50788426, lr=0.000100, hard or full='full'
0:04:17.532004
iter 13000:, hard_loss_metric=0.33761731, full_loss_metric=0.18793058, full_loss_num=7765.80810547, mean_dist=2.54761767, lr=0.000100, hard or full='full'
iter 13100:, hard_loss_metric=0.33935302, full_loss_metric=0.18873261, full_loss_num=7827.07324219, mean_dist=2.53659129, lr=0.000100, hard or full='full'
iter 13200:, hard_loss_metric=0.34244186, full_loss_metric=0.18721771, full_loss_num=8106.11425781, mean_dist=2.53180599, lr=0.000100, hard or full='full'
iter 13300:, hard_loss_metric=0.34623355, full_loss_metric=0.18696122, full_loss_num=8264.09277344, mean_dist=2.51826167, lr=0.000100, hard or full='full'
iter 13400:, hard_loss_metric=0.33960879, full_loss_metric=0.18807988, full_loss_num=7934.70556641, mean_dist=2.55051899, lr=0.000100, hard or full='full'
iter 13500:, hard_loss_metric=0.34022003, full_loss_metric=0.18892534, full_loss_num=7936.01562500, mean_dist=2.54380774, lr=0.000100, hard or full='full'
iter 13600:, hard_loss_metric=0.35035050, full_loss_metric=0.18849157, full_loss_num=8571.83984375, mean_dist=2.50858188, lr=0.000100, hard or full='full'
